Date,"Total Energy Consumed by the Industrial Sector, Monthly"
01-01-2017,2608.714
01-02-2017,2322.596
01-03-2017,2592.021
01-04-2017,2448.763
01-05-2017,2558.864
01-06-2017,2567.108
01-07-2017,2667.035
01-08-2017,2651.725
01-09-2017,2509.995
01-10-2017,2582.986
01-11-2017,2624.136
01-12-2017,2698.95
01-01-2018,2725.674
01-02-2018,2417.237
01-03-2018,2675.908
01-04-2018,2489.63
01-05-2018,2659.549
01-06-2018,2620.845
01-07-2018,2736.058
01-08-2018,2817.683
01-09-2018,2613.474
01-10-2018,2718.988
01-11-2018,2668.978
01-12-2018,2661.419
01-01-2019,2801.843
01-02-2019,2439.409
01-03-2019,2626.309
01-04-2019,2516.965
01-05-2019,2644.656
01-06-2019,2582.13
01-07-2019,2718.911
01-08-2019,2753.911
01-09-2019,2611.843
01-10-2019,2656.394
01-11-2019,2659.143
01-12-2019,2696.73
01-01-2020,2713.355
01-02-2020,2557.285
01-03-2020,2615.803
01-04-2020,2214.402
01-05-2020,2319.929
01-06-2020,2368.616
01-07-2020,2547.29
01-08-2020,2611.756
01-09-2020,2466.342
01-10-2020,2579.348
01-11-2020,2581.414
01-12-2020,2701.141
01-01-2021,2708.654
01-02-2021,2258.22
01-03-2021,2520.674
01-04-2021,2541.165
01-05-2021,2635.552
01-06-2021,2647.29
01-07-2021,2712.433
01-08-2021,2760.127
01-09-2021,2582.021
01-10-2021,2658.772
01-11-2021,2639.58
01-12-2021,2717.93
01-01-2022,2741.127
01-02-2022,2420.137
01-03-2022,2614.969
01-04-2022,2467.756
01-05-2022,2547.608
01-06-2022,2594.31
01-07-2022,2671.613
01-08-2022,2674.53
01-09-2022,2524.923
01-10-2022,2575.553
01-11-2022,2575.913
01-12-2022,2524.618
01-01-2023,2547.504
01-02-2023,2311.728
01-03-2023,2561.443
01-04-2023,2465.071
01-05-2023,2568.771
01-06-2023,2544.021
01-07-2023,2629.522
